id	age	sexe	nivetud	qualif	freres.soeurs	clso	trav.imp	trav.satisf	hard.rock	lecture.bd	peche.chasse	cuisine	bricol	cinema	sport	heures.tv
42	35	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	8	Non	Aussi_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Non	Non	3
43	40	Homme	Enseignement_superieur_y_compris_technique_superieur	Cadre	3	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Oui	Non	Oui	0.4
47	39	Femme	Enseignement_technique_ou_professionnel_court	Ouvrier_specialise	12	Non	Peu_important	Equilibre	Non	Non	Oui	Oui	Non	Non	Non	3
49	43	Femme	Enseignement_superieur_y_compris_technique_superieur	Employe	2	Oui	Aussi_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Non	Non	2
50	34	Femme	Enseignement_superieur_y_compris_technique_superieur	Cadre	2	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Non	Non	0
53	54	Homme	Enseignement_technique_ou_professionnel_court	Autre	3	Oui	Le_plus_important	Satisfaction	Non	Non	Non	Non	Non	Non	Non	2
55	26	Homme	Enseignement_superieur_y_compris_technique_superieur	Technicien	1	Oui	Peu_important	Insatisfaction	Non	Non	Non	Non	Non	Oui	Oui	1.4
56	23	Femme	Enseignement_technique_ou_professionnel_long	Ouvrier_specialise	1	Oui	Aussi_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Non	Non	Non	2
63	39	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	0	Oui	Aussi_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Non	Non	2
65	54	Homme	1er_cycle	Ouvrier_qualifie	2	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Non	Non	4
66	27	Femme	Derniere_annee_d'etudes_primaires	Employe	1	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Non	Oui	Oui	2
67	140	Homme	1er_cycle	Ouvrier_qualifie	2	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Oui	Non	Non	4
68	42	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	3	Non	Aussi_important_que_le_reste	Insatisfaction	Non	Non	Oui	Non	Oui	Non	Non	3
69	44	Femme	1er_cycle	Employe	8	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Oui	Non	Oui	Oui	Oui	0.4
71	30	Homme	Enseignement_technique_ou_professionnel_long	Ouvrier_qualifie	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Non	Oui	Non	1.4
72	48	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_specialise	2	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Oui	Non	Non	1
74	46	Femme	Enseignement_technique_ou_professionnel_court	Employe	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Oui	Non	2
75	33	Femme	Enseignement_technique_ou_professionnel_court	Employe	4	Oui	Peu_important	Insatisfaction	Non	Non	Non	Oui	Oui	Oui	Non	3
79	22	Femme	Enseignement_technique_ou_professionnel_court	Employe	3	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Oui	Oui	Oui	2
81	41	Femme	Enseignement_technique_ou_professionnel_long	Employe	6	Non	Aussi_important_que_le_reste	Equilibre	Non	Oui	Non	Oui	Non	Oui	Non	5
86	34	Femme	Enseignement_superieur_y_compris_technique_superieur	Cadre	0	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Non	Oui	Non	0.4
88	59	Homme	2eme_cycle	Cadre	2	Oui	Aussi_important_que_le_reste	Satisfaction	Non	Non	Oui	Non	Oui	Non	Non	1
91	48	Homme	Enseignement_superieur_y_compris_technique_superieur	Cadre	1	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Oui	Non	0.6
92	25	Femme	Enseignement_superieur_y_compris_technique_superieur	Cadre	1	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Oui	Oui	2
97	43	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	6	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Oui	Non	Oui	Oui	Non	2
98	32	Homme	2eme_cycle	Employe	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Oui	Non	Oui	Oui	Oui	4
103	54	Femme	Enseignement_superieur_y_compris_technique_superieur	Cadre	2	Oui	Le_plus_important	Insatisfaction	Non	Non	Non	Non	Oui	Oui	Non	2.9
104	31	Homme	Derniere_annee_d'etudes_primaires	Ouvrier_specialise	8	Non	Aussi_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Oui	Non	3
105	33	Homme	Enseignement_technique_ou_professionnel_court	Profession_intermediaire	1	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Oui	Oui	0
109	49	Femme	Enseignement_superieur_y_compris_technique_superieur	Cadre	1	Non	Moins_important_que_le_reste	Insatisfaction	Non	Oui	Non	Oui	Non	Oui	Oui	0.9
110	47	Homme	A_arrete_ses_etudes,_avant_la_derniere_annee_d'etudes_primaires	Ouvrier_qualifie	5	Non	Aussi_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Non	Oui	3
112	52	Homme	Derniere_annee_d'etudes_primaires	Employe	1	Non	Aussi_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Non	Oui	0
114	56	Homme	Enseignement_technique_ou_professionnel_long	Technicien	2	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Non	Non	2
119	54	Homme	1er_cycle	Autre	3	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Non	Non	1
121	35	Femme	Enseignement_superieur_y_compris_technique_superieur	Profession_intermediaire	4	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Oui	Oui	0.3
123	51	Femme	2eme_cycle	Profession_intermediaire	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Oui	Non	5
126	49	Femme	Enseignement_technique_ou_professionnel_court	Ouvrier_specialise	5	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Non	Non	6
128	49	Femme	Enseignement_superieur_y_compris_technique_superieur	Cadre	0	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Non	Oui	Non	1
132	36	Homme	Enseignement_superieur_y_compris_technique_superieur	Cadre	2	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Oui	Oui	1
138	58	Homme	Enseignement_technique_ou_professionnel_court	Profession_intermediaire	2	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Non	Non	3
139	37	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	1	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Oui	Non	Oui	Non	Oui	3
140	49	Homme	Enseignement_technique_ou_professionnel_court	Technicien	5	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Oui	Non	1
141	55	Homme	1er_cycle	Ouvrier_qualifie	6	Non	Aussi_important_que_le_reste	Insatisfaction	Non	Non	Non	Oui	Oui	Non	Non	4
142	51	Homme	1er_cycle	Ouvrier_qualifie	4	Non	Aussi_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Non	Oui	3
143	58	Homme	Enseignement_superieur_y_compris_technique_superieur	Autre	7	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Oui	Non	2
145	47	Homme	Enseignement_superieur_y_compris_technique_superieur	Profession_intermediaire	4	Non	Peu_important	Equilibre	Non	Non	Non	Non	Non	Oui	Oui	3
147	31	Homme	Enseignement_superieur_y_compris_technique_superieur	Technicien	2	Oui	Moins_important_que_le_reste	Equilibre	Oui	Non	Non	Oui	Non	Oui	Oui	2
149	42	Femme	Enseignement_technique_ou_professionnel_court	Employe	3	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Non	Non	Oui	2
150	35	Femme	2eme_cycle	Employe	3	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Non	Non	1
151	50	Homme	Derniere_annee_d'etudes_primaires	Employe	2	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Oui	Non	2
154	40	Femme	Enseignement_technique_ou_professionnel_court	Autre	3	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Oui	Oui	Non	2
157	50	Femme	Enseignement_technique_ou_professionnel_court	Employe	7	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Non	Non	0
160	32	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	9	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Oui	Oui	Oui	Non	Non	2
161	38	Femme	2eme_cycle	Cadre	5	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Non	Oui	Non	4
163	43	Femme	2eme_cycle	Cadre	2	Oui	Aussi_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Oui	Oui	Non	0.3
165	35	Femme	1er_cycle	Employe	5	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Non	Non	Oui	0
166	28	Homme	Enseignement_technique_ou_professionnel_long	Employe	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Non	Oui	1.7
167	51	Homme	Enseignement_technique_ou_professionnel_long	Ouvrier_qualifie	7	Non	Aussi_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Non	Non	3
169	47	Femme	2eme_cycle	Employe	11	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Oui	Oui	Oui	2
171	48	Homme	2eme_cycle	Employe	2	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Non	Oui	Oui	1.4
172	27	Femme	Enseignement_superieur_y_compris_technique_superieur	Employe	3	Non	Aussi_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Oui	Oui	0.3
174	38	Femme	Enseignement_superieur_y_compris_technique_superieur	Employe	1	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Oui	Oui	Oui	0.4
176	39	Femme	Enseignement_superieur_y_compris_technique_superieur	Cadre	3	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Oui	Oui	Oui	48
179	57	Homme	Derniere_annee_d'etudes_primaires	Ouvrier_specialise	2	Oui	Aussi_important_que_le_reste	Equilibre	Non	Non	Non	Non	Oui	Non	Non	3
183	24	Femme	Enseignement_superieur_y_compris_technique_superieur	Employe	2	Oui	Moins_important_que_le_reste	Insatisfaction	Non	Non	Non	Oui	Oui	Oui	Oui	4
185	50	Homme	A_arrete_ses_etudes,_avant_la_derniere_annee_d'etudes_primaires	Ouvrier_qualifie	18	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Non	Non	6
188	57	Femme	Enseignement_technique_ou_professionnel_court	Employe	0	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Non	Non	1
191	48	Homme	Enseignement_technique_ou_professionnel_court	Profession_intermediaire	3	Oui	Aussi_important_que_le_reste	Equilibre	Non	Non	Non	Non	Oui	Non	Non	3
192	49	Homme	Derniere_annee_d'etudes_primaires	Ouvrier_qualifie	3	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Oui	Oui	Non	Non	Non	3
195	52	Homme	2eme_cycle	Ouvrier_qualifie	8	Oui	Moins_important_que_le_reste	Insatisfaction	Non	Non	Non	Non	Oui	Non	Non	4
197	54	Homme	Enseignement_superieur_y_compris_technique_superieur	Cadre	2	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Oui	Oui	2
201	34	Femme	Enseignement_technique_ou_professionnel_long	Employe	7	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Oui	Oui	Non	2
202	38	Homme	Enseignement_superieur_y_compris_technique_superieur	Cadre	3	Non	Moins_important_que_le_reste	Insatisfaction	Non	Non	Non	Non	Oui	Oui	Non	4
203	27	Femme	Enseignement_technique_ou_professionnel_long	Employe	3	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Oui	Non	0
205	22	Femme	Enseignement_technique_ou_professionnel_long	Employe	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Non	Oui	Oui	3
207	47	Femme	Derniere_annee_d'etudes_primaires	Ouvrier_specialise	6	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Non	Non	Non	5
211	36	Femme	Enseignement_technique_ou_professionnel_long	Employe	1	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Oui	Oui	Oui	2
219	32	Femme	Enseignement_technique_ou_professionnel_court	Employe	1	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Oui	Oui	0
221	26	Homme	2eme_cycle	Ouvrier_qualifie	2	Oui	Le_plus_important	Equilibre	Non	Non	Non	Oui	Oui	Non	Non	1
224	56	Femme	1er_cycle	Employe	5	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Non	Non	Non	2
228	29	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_specialise	1	Non	Le_plus_important	Equilibre	Non	Non	Oui	Non	Oui	Non	Non	0
229	43	Femme	Derniere_annee_d'etudes_primaires	Employe	5	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Oui	Oui	Non	0.3
232	43	Femme	Enseignement_superieur_y_compris_technique_superieur	Technicien	2	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Oui	Oui	Oui	0
233	41	Femme	2eme_cycle	Employe	1	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Oui	Non	Non	0
239	30	Femme	Enseignement_technique_ou_professionnel_long	Profession_intermediaire	0	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Oui	Oui	Non	2
241	37	Homme	Enseignement_technique_ou_professionnel_court	Autre	5	Non	Aussi_important_que_le_reste	Equilibre	Non	Non	Oui	Non	Non	Non	Non	2
244	53	Homme	Enseignement_superieur_y_compris_technique_superieur	Cadre	1	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Oui	Oui	Oui	0.1
251	40	Femme	1er_cycle	Employe	2	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Oui	Oui	Non	1
252	39	Homme	Enseignement_superieur_y_compris_technique_superieur	Cadre	4	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Oui	Oui	Oui	1
253	35	Femme	Enseignement_superieur_y_compris_technique_superieur	Profession_intermediaire	3	Oui	Le_plus_important	Insatisfaction	Non	Non	Non	Oui	Oui	Non	Non	2
254	43	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	5	Non	Aussi_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Oui	Oui	Non	2
258	31	Homme	Enseignement_superieur_y_compris_technique_superieur	Cadre	2	Oui	Aussi_important_que_le_reste	Equilibre	Non	Non	Oui	Non	Oui	Oui	Oui	1
259	42	Femme	Enseignement_superieur_y_compris_technique_superieur	Employe	2	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Non	Oui	Non	2
261	47	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	2	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Oui	Non	Oui	Oui	Oui	2
262	21	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	2	Non	Aussi_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Oui	Non	2
264	44	Femme	Enseignement_superieur_y_compris_technique_superieur	Employe	4	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Oui	Oui	0
268	34	Homme	Enseignement_superieur_y_compris_technique_superieur	Cadre	1	Non	Aussi_important_que_le_reste	Equilibre	Non	Non	Non	Non	Oui	Oui	Oui	1
271	52	Femme	Enseignement_superieur_y_compris_technique_superieur	Profession_intermediaire	1	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Oui	Oui	Oui	0.3
273	41	Femme	2eme_cycle	Employe	6	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Oui	Oui	0
276	36	Femme	Enseignement_technique_ou_professionnel_court	Ouvrier_specialise	2	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Non	Non	Non	1
277	36	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Oui	Non	Non	Non	Oui	1
278	38	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	8	Non	Aussi_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Oui	Non	5
279	46	Femme	Enseignement_superieur_y_compris_technique_superieur	Technicien	1	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Oui	Oui	Oui	1.4
280	54	Homme	Enseignement_technique_ou_professionnel_court	Profession_intermediaire	4	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Non	Non	0
282	26	Homme	Enseignement_superieur_y_compris_technique_superieur	Autre	2	Non	Aussi_important_que_le_reste	Equilibre	Non	Non	Oui	Oui	Oui	Oui	Oui	2.9
291	27	Femme	Enseignement_superieur_y_compris_technique_superieur	Employe	2	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Oui	Oui	Oui	1
293	30	Femme	Enseignement_superieur_y_compris_technique_superieur	Cadre	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Non	Oui	2
294	48	Femme	2eme_cycle	Profession_intermediaire	2	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Oui	Oui	0
296	30	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	3	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Oui	Non	Non	1
297	32	Homme	Enseignement_technique_ou_professionnel_court	Employe	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Non	Non	Non	5
300	49	Homme	Enseignement_superieur_y_compris_technique_superieur	Profession_intermediaire	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Non	Oui	1
301	47	Femme	2eme_cycle	Employe	1	Non	Aussi_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Non	Oui	0
308	50	Femme	1er_cycle	Employe	11	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Non	Non	Oui	3
309	36	Femme	Enseignement_superieur_y_compris_technique_superieur	Cadre	4	Non	Aussi_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Oui	Non	2
311	37	Femme	Enseignement_technique_ou_professionnel_long	Employe	1	Oui	Moins_important_que_le_reste	Insatisfaction	Non	Non	Non	Oui	Oui	Non	Non	5
312	22	Femme	Enseignement_superieur_y_compris_technique_superieur	Employe	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Non	Non	2
313	42	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	6	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Oui	Oui	Oui	2
319	39	Femme	Enseignement_superieur_y_compris_technique_superieur	Cadre	1	Oui	Aussi_important_que_le_reste	Satisfaction	Non	Oui	Non	Non	Oui	Non	Non	0.7
321	25	Homme	Enseignement_technique_ou_professionnel_long	Employe	5	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Non	Oui	Non	2.1
322	33	Femme	Enseignement_technique_ou_professionnel_long	Employe	3	Non	Aussi_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Non	Non	0
323	36	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_specialise	5	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Oui	Oui	Oui	Non	Oui	3
327	44	Homme	Enseignement_superieur_y_compris_technique_superieur	Cadre	5	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Oui	Non	Oui	Oui	Oui	2
330	27	Femme	Enseignement_superieur_y_compris_technique_superieur	Cadre	2	Oui	Aussi_important_que_le_reste	Equilibre	Non	Oui	Non	Oui	Non	Oui	Oui	1
332	26	Femme	Enseignement_superieur_y_compris_technique_superieur	Employe	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Non	Oui	Oui	1.4
335	20	Homme	Enseignement_technique_ou_professionnel_long	Technicien	2	Oui	Aussi_important_que_le_reste	Equilibre	Non	Non	Oui	Oui	Oui	Oui	Oui	2
336	51	Femme	Enseignement_technique_ou_professionnel_court	Technicien	1	Oui	Peu_important	Insatisfaction	Non	Non	Non	Oui	Non	Non	Oui	3
339	57	Homme	Enseignement_technique_ou_professionnel_long	Cadre	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Non	Non	3
343	45	Homme	1er_cycle	Cadre	0	Ne_sait_pas	Moins_important_que_le_reste	Equilibre	Non	Non	Oui	Non	Oui	Non	Non	2
344	39	Femme	2eme_cycle	Employe	3	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Oui	Non	0
350	36	Femme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	3	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Oui	Non	Oui	2
351	41	Femme	Enseignement_technique_ou_professionnel_court	Employe	2	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Oui	Oui	Non	2
352	50	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	1	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Non	Non	3
353	52	Homme	Enseignement_technique_ou_professionnel_court	Profession_intermediaire	1	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Oui	Oui	Oui	Non	Non	4.6
354	42	Femme	Enseignement_technique_ou_professionnel_court	Employe	3	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Non	Oui	Non	1
355	32	Homme	Enseignement_technique_ou_professionnel_long	Ouvrier_qualifie	1	Non	Moins_important_que_le_reste	Insatisfaction	Non	Non	Oui	Non	Non	Non	Non	3
357	40	Femme	2eme_cycle	Employe	6	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Non	Oui	Non	3
359	52	Homme	2eme_cycle	Technicien	7	Non	Aussi_important_que_le_reste	Satisfaction	Non	Non	Oui	Oui	Oui	Oui	Oui	2
360	41	Homme	Enseignement_technique_ou_professionnel_long	Profession_intermediaire	2	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Oui	Oui	1
363	30	Homme	Enseignement_superieur_y_compris_technique_superieur	Technicien	2	Oui	Moins_important_que_le_reste	Insatisfaction	Non	Non	Non	Non	Oui	Oui	Oui	4
366	29	Homme	Enseignement_technique_ou_professionnel_long	Employe	2	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Oui	Non	Oui	Non	Non	3
367	22	Femme	Enseignement_technique_ou_professionnel_court	Profession_intermediaire	3	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Non	Non	Oui	3
370	36	Homme	1er_cycle	Ouvrier_specialise	3	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Non	Non	0
371	35	Homme	Enseignement_superieur_y_compris_technique_superieur	Employe	4	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Oui	Oui	Non	3
372	36	Femme	Enseignement_superieur_y_compris_technique_superieur	Employe	1	Non	Moins_important_que_le_reste	Insatisfaction	Non	Non	Non	Non	Oui	Oui	Non	2
378	22	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_specialise	6	Non	Peu_important	Satisfaction	Non	Non	Non	Non	Non	Oui	Oui	5
380	31	Femme	Enseignement_superieur_y_compris_technique_superieur	Employe	1	Non	Le_plus_important	Equilibre	Non	Non	Non	Non	Non	Oui	Oui	3
